name,number_of_routes
CAL Cargo Air Lines,29
Air Bagan,29
Peninsula Airways,28
Air Busan,28
Genesis,28
Air Caraïbes,28
SATA Air Acores,28
Astrakhan Airlines,28
Aereonautica militare,28
Metro Batavia,27
TUR Avrupa Hava YollarÄ±,27
Montenegro Airlines,26
Flightline,26
Estonian Air,26
Aserca Airlines,26
Jin Air,26
Hokkaido International Airlines,26
Intersky,26
Camair-co,25
Hapagfly,25
Illinois Airways,25
Windward Islands Airways,25
SkyWork Airlines ,24
Air Antilles Express,24
Twin Jet,24
Tuninter,24
Air Austral,24
Arkefly,24
Air Botswana,24
LACSA,24
Fuji Dream Airlines,24
Mahan Air,24
Scoot,24
Arik Niger,24
Iberworld,23
Kish Air,23
Cayman Airways,23
Southern Winds Airlines,23
Cambodia Angkor Air (K6),22
Comores Airlines,22
Air Caledonie International,22
South East Asian Airlines,22
Air Burkina,22
Ariana Afghan Airlines,22
Air Mandalay,22
Japan Transocean Air,22
Aeroflot-Nord,22
Eastar Jet,22
Cargoitalia,21
Patriot Airways,21
Homer Air,21
Rainbow Air Polynesia,20
Surinam Airways,20
Hong Kong Express Airways,20
Arkia Israel Airlines,20
Moskovia Airlines,20
Golden Air,20
Gazpromavia,20
ZABAIKAL AIRLINES,20
Linhas A,20
MexicanaLink,20
Skynet Airlines,20
Aurigny Air Services,20
Druk Air,20
Marysya Airlines,19
Maya Island Air,19
Georgian Airways,18
Aeroper,18
Northwestern Air,18
TAM Mercosur,18
Kenmore Air,18
Jetstar Pacific,18
Yeti Airways,18
Proflight Commuter Services,18
Japan Asia Airways,18
Primaris Airlines,18
Severstal Air Company,18
Star Peru (2I),18
Mango,18
BQB Lineas Aereas,18
Fly540,18
Sat Airlines,17
Euro Exec Express,17
Atlantic Air Cargo,17
Air Tahiti Nui,17
Servicios de Transportes A,17
Varig Log,16
Nile Air,16
Tway Airlines,16
Peruvian Airlines,16
Mandala Airlines,16
Turkmenistan Airlines,16
Northern Dene Airways,16
Interlink Airlines,16
Tropic Air,16
DAT Danish Air Transport,16
Nasair,16
Air Armenia,16
Alaska Seaplane Service,15
Shuttle America,15
Aero Lanka,14
Polet Airlines (Priv),14
Aerolane,14
Safi Airlines,14
Fly Air,14
Grupo TACA,14
Helvetic Airways,14
T.J. Air,14
SkyBahamas Airlines,14
Comair,14
AeroWorld ,14
Piedmont Airlines (1948-1989),14
Pacific East Asia Cargo Airlines,14
